Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
174,0.00012432054464285716,0.8251785714285714,231.90178571428572,1.738839285714286e-05,0.838482142857143,202083.0357142857
175,0.00012503476041666667,0.8252083333333333,231.51041666666669,1.7473958333333337e-05,0.8386458333333334,201692.7083333333
176,0.0001257489761904762,0.8252380952380952,231.11904761904762,1.755952380952381e-05,0.8388095238095239,201302.38095238095
177,0.00012646319196428572,0.8252678571428571,230.72767857142856,1.764508928571429e-05,0.8389732142857144,200912.05357142858
178,0.00012717740773809523,0.825297619047619,230.33630952380952,1.7730654761904764e-05,0.8391369047619048,200521.72619047618
179,0.00012789162351190477,0.8253273809523809,229.94494047619048,1.781622023809524e-05,0.8393005952380953,200131.3988095238
180,0.00012860583928571428,0.8253571428571428,229.55357142857144,1.7901785714285718e-05,0.8394642857142858,199741.07142857142
181,0.00012932005505952382,0.8253869047619047,229.16220238095238,1.7987351190476194e-05,0.8396279761904762,199350.74404761905
182,0.00013003427083333334,0.8254166666666666,228.77083333333331,1.807291666666667e-05,0.8397916666666667,198960.4166666667
183,0.00013074848660714287,0.8254464285714286,228.37946428571428,1.8158482142857145e-05,0.8399553571428572,198570.0892857143
184,0.0001314627023809524,0.8254761904761905,227.98809523809524,1.824404761904762e-05,0.8401190476190477,198179.7619047619
185,0.0001321769181547619,0.8255059523809524,227.5967261904762,1.8329613095238098e-05,0.8402827380952381,197789.43452380953
186,0.00013289113392857144,0.8255357142857143,227.20535714285714,1.8415178571428575e-05,0.8404464285714286,197399.10714285716
187,0.00013360534970238095,0.8255654761904762,226.8139880952381,1.850074404761905e-05,0.8406101190476191,197008.77976190476
188,0.0001343195654761905,0.825595238095238,226.42261904761904,1.8586309523809528e-05,0.8407738095238095,196618.45238095237
189,0.00013503378125,0.8256249999999999,226.03125,1.8671875e-05,0.8409375,196228.125
190,0.00013574799702380954,0.8256547619047618,225.63988095238096,1.8757440476190478e-05,0.8411011904761905,195837.79761904763
191,0.00013646221279761905,0.8256845238095237,225.24851190476193,1.8843005952380955e-05,0.8412648809523811,195447.47023809524
192,0.00013717642857142857,0.8257142857142856,224.85714285714286,1.8928571428571432e-05,0.8414285714285715,195057.14285714284
193,0.0001378906443452381,0.8257440476190476,224.4657738095238,1.901413690476191e-05,0.841592261904762,194666.81547619047
194,0.00013860486011904762,0.8257738095238095,224.07440476190476,1.9099702380952385e-05,0.8417559523809525,194276.4880952381
195,0.00013931907589285716,0.8258035714285714,223.68303571428572,1.9185267857142862e-05,0.8419196428571429,193886.1607142857
